dataset,V,E
graph_0_5,0,0
graph_0_10,0,0
graph_1_5,512,4096
graph_1_10,1063,336
graph_2_5,512,4096
graph_2_10,1063,336
graph_3_5,512,4096
graph_3_10,138015,749588
graph_4_5,512,4096
graph_4_10,474615,3600020
graph_5_5,512,4096
graph_5_10,522498,4170650
graph_6_5,512,4096
graph_6_10,524064,4191570
graph_7_5,512,4096
graph_7_10,523857,4188810
graph_8_5,512,4096
graph_8_10,524757,4201836
graph_8_15,567890,23456789
graph_9_5,512,4096
graph_9_10,524796,4202434
graph_9_15,567890,23456789
kmer_V2a,55042369,117217600
kmer_A2a,170728175,360585172
kmer_V1r,222222,3333333
synth_dna_k10_edges8_4M,1048576,8388604
synth_dna_k11_edges33_5M,4194304,33554428
synth_prot20_k5_edges128M,3200000,127999980
synth_prot23_k5_edges296M,6436343,296071755
